"","X1","date","block","number","species","percent_cover","colour","timediff"
"193",1190,2019-07-04,"A",2,"ulothrix",81,"warm",11.8154761904762
"194",1191,2019-07-04,"A",3,"ulothrix",37,"ambient",11.8154761904762
"195",1192,2019-07-04,"A",4,"ulothrix",29,"warm",11.8154761904762
"196",1193,2019-07-04,"A",5,"ulothrix",27.5,"warm",11.8154761904762
"197",1194,2019-07-04,"A",6,"ulothrix",5.5,"warm",11.8154761904762
"198",1195,2019-07-04,"A",7,"ulothrix",5,"ambient",11.8154761904762
"199",1196,2019-07-04,"A",8,"ulothrix",77.5,"ambient",11.8154761904762
"200",1197,2019-07-04,"A",9,"ulothrix",12.5,"ambient",11.8154761904762
"201",1198,2019-07-04,"A",10,"ulothrix",15,"warm",11.8154761904762
"202",1199,2019-07-04,"A",11,"ulothrix",73,"ambient",11.8154761904762
"203",1200,2019-07-04,"A",12,"ulothrix",40,"ambient",11.8154761904762
"204",1201,2019-07-04,"A",13,"ulothrix",1,"ambient",11.8154761904762
"205",1202,2019-07-04,"A",14,"ulothrix",2.5,"warm",11.8154761904762
"206",1203,2019-07-04,"A",15,"ulothrix",12,"warm",11.8154761904762
"207",1204,2019-07-04,"A",16,"ulothrix",46,"ambient",11.8154761904762
"208",1205,2019-07-04,"B",1,"ulothrix",0,"warm",11.8154761904762
"209",1206,2019-07-04,"B",2,"ulothrix",0,"warm",11.8154761904762
"210",1207,2019-07-04,"B",3,"ulothrix",21.5,"ambient",11.8154761904762
"211",1208,2019-07-04,"B",4,"ulothrix",9.5,"ambient",11.8154761904762
"212",1209,2019-07-04,"B",5,"ulothrix",0.5,"ambient",11.8154761904762
"213",1210,2019-07-04,"B",6,"ulothrix",0,"warm",11.8154761904762
"214",1211,2019-07-04,"B",7,"ulothrix",35.5,"warm",11.8154761904762
"215",1212,2019-07-04,"B",8,"ulothrix",12.5,"warm",11.8154761904762
"216",1213,2019-07-04,"B",9,"ulothrix",2.5,"ambient",11.8154761904762
"217",1214,2019-07-04,"B",10,"ulothrix",8,"warm",11.8154761904762
"218",1215,2019-07-04,"B",11,"ulothrix",4,"ambient",11.8154761904762
"219",1216,2019-07-04,"B",12,"ulothrix",0,"warm",11.8154761904762
"220",1217,2019-07-04,"B",13,"ulothrix",10.5,"ambient",11.8154761904762
"221",1218,2019-07-04,"B",14,"ulothrix",13,"warm",11.8154761904762
"222",1219,2019-07-04,"B",15,"ulothrix",2.5,"ambient",11.8154761904762
"223",1220,2019-07-04,"B",16,"ulothrix",0,"warm",11.8154761904762
"224",1221,2019-07-04,"C",1,"ulothrix",40,"warm",11.8154761904762
"225",1222,2019-07-04,"C",2,"ulothrix",16,"ambient",11.8154761904762
"226",1223,2019-07-04,"C",3,"ulothrix",61,"ambient",11.8154761904762
"227",1224,2019-07-04,"C",4,"ulothrix",42.5,"warm",11.8154761904762
"228",1225,2019-07-04,"C",5,"ulothrix",49,"ambient",11.8154761904762
"229",1226,2019-07-04,"C",6,"ulothrix",51.5,"warm",11.8154761904762
"230",1227,2019-07-04,"C",7,"ulothrix",27,"warm",11.8154761904762
"231",1228,2019-07-04,"C",8,"ulothrix",18,"warm",11.8154761904762
"232",1229,2019-07-04,"C",9,"ulothrix",82,"ambient",11.8154761904762
"233",1230,2019-07-04,"C",10,"ulothrix",0.5,"warm",11.8154761904762
"234",1231,2019-07-04,"C",11,"ulothrix",1,"warm",11.8154761904762
"235",1232,2019-07-04,"C",12,"ulothrix",3,"warm",11.8154761904762
"236",1233,2019-07-04,"C",13,"ulothrix",0,"ambient",11.8154761904762
"237",1234,2019-07-04,"C",14,"ulothrix",41,"ambient",11.8154761904762
"238",1235,2019-07-04,"C",15,"ulothrix",24,"ambient",11.8154761904762
"239",1236,2019-07-04,"C",16,"ulothrix",56,"ambient",11.8154761904762
"240",1237,2019-07-04,"D",1,"ulothrix",85,"ambient",11.8154761904762
"241",1238,2019-07-04,"D",2,"ulothrix",81.5,"ambient",11.8154761904762
"242",1239,2019-07-04,"D",3,"ulothrix",35.5,"warm",11.8154761904762
"243",1240,2019-07-04,"D",4,"ulothrix",46.5,"ambient",11.8154761904762
"244",1241,2019-07-04,"D",5,"ulothrix",31,"ambient",11.8154761904762
"245",1242,2019-07-04,"D",6,"ulothrix",7,"ambient",11.8154761904762
"246",1243,2019-07-04,"D",7,"ulothrix",4,"warm",11.8154761904762
"247",1244,2019-07-04,"D",8,"ulothrix",2,"warm",11.8154761904762
"248",1245,2019-07-04,"D",9,"ulothrix",1,"warm",11.8154761904762
"249",1246,2019-07-04,"D",10,"ulothrix",3.5,"ambient",11.8154761904762
"250",1247,2019-07-04,"D",11,"ulothrix",0,"ambient",11.8154761904762
"251",1248,2019-07-04,"D",12,"ulothrix",0,"warm",11.8154761904762
"252",1249,2019-07-04,"D",13,"ulothrix",0.25,"ambient",11.8154761904762
"253",1250,2019-07-04,"D",14,"ulothrix",7,"warm",11.8154761904762
"254",1251,2019-07-04,"D",15,"ulothrix",2,"warm",11.8154761904762
"255",1252,2019-07-04,"D",16,"ulothrix",3.5,"warm",11.8154761904762
"256",1253,2019-07-04,"E",1,"ulothrix",68,"warm",11.8154761904762
"257",1254,2019-07-04,"E",2,"ulothrix",87,"ambient",11.8154761904762
