"","date_time","temp","block","number","colour"
"280","2019-06-18 09:02:00",25,"A","rock","rock"
"281","2019-06-18 10:02:00",24,"A","rock","rock"
"282","2019-06-18 11:02:00",29.5,"A","rock","rock"
"283","2019-06-18 12:02:00",31.5,"A","rock","rock"
"284","2019-06-18 13:02:00",34.5,"A","rock","rock"
"285","2019-06-18 14:02:00",31,"A","rock","rock"
"286","2019-06-18 15:02:00",31.5,"A","rock","rock"
"287","2019-06-18 16:02:00",29.5,"A","rock","rock"
"288","2019-06-18 17:02:00",15.5,"A","rock","rock"
"289","2019-06-18 18:02:00",12.5,"A","rock","rock"
"290","2019-06-18 19:02:00",13,"A","rock","rock"
"291","2019-06-18 20:02:00",12,"A","rock","rock"
"292","2019-06-18 21:02:00",12,"A","rock","rock"
"293","2019-06-18 22:02:00",12,"A","rock","rock"
"294","2019-06-18 23:02:00",12.5,"A","rock","rock"
"295","2019-06-19 00:02:00",12.5,"A","rock","rock"
"296","2019-06-19 01:02:00",12.5,"A","rock","rock"
"297","2019-06-19 02:02:00",13,"A","rock","rock"
"298","2019-06-19 03:02:00",13,"A","rock","rock"
"299","2019-06-19 04:02:00",13,"A","rock","rock"
"300","2019-06-19 05:02:00",12.5,"A","rock","rock"
"301","2019-06-19 06:02:00",12,"A","rock","rock"
"302","2019-06-19 07:02:00",12,"A","rock","rock"
"303","2019-06-19 08:02:00",12.5,"A","rock","rock"
"304","2019-06-19 09:02:00",22.5,"A","rock","rock"
"305","2019-06-19 10:02:00",26.5,"A","rock","rock"
"306","2019-06-19 11:02:00",31.5,"A","rock","rock"
"307","2019-06-19 12:02:00",30.5,"A","rock","rock"
"308","2019-06-19 13:02:00",25.5,"A","rock","rock"
"309","2019-06-19 14:02:00",28,"A","rock","rock"
"310","2019-06-19 15:02:00",24,"A","rock","rock"
"311","2019-06-19 16:02:00",23.5,"A","rock","rock"
"312","2019-06-19 17:02:00",18,"A","rock","rock"
"313","2019-06-19 18:02:00",14.5,"A","rock","rock"
"314","2019-06-19 19:02:00",13,"A","rock","rock"
"315","2019-06-19 20:02:00",12.5,"A","rock","rock"
"316","2019-06-19 21:02:00",12,"A","rock","rock"
"317","2019-06-19 22:02:00",12,"A","rock","rock"
"318","2019-06-19 23:02:00",12.5,"A","rock","rock"
"319","2019-06-20 00:02:00",12.5,"A","rock","rock"
